acc_raw_int,acc_raw_float,acc_HP_float,acc_HP_float
-264,-264,-72.634,-72
-276,-276,-49.4938,-49
-248,-248,-42.7353,-42
-248,-248,-65.1733,-65
-254,-254,-79.3848,-79
-249,-249,-63.9208,-63
-233,-233,-68.0858,-68
-225,-225,-104.3668,-104
-241,-241,-52.5004,-52
-205,-205,-45.9984,-45
-223,-223,-86.1199,-86
-269,-269,-88.9773,-88
-260,-260,-53.428,-53
-222,-222,-79.3148,-79
-235,-235,-68.5399,-68
-213,-213,-12.5191,-12
-215,-215,-55.0562,-55
-265,-265,-85.2242,-85
-249,-249,-62.6477,-62
-225,-225,-15.2933,-15
-191,-191,-50.23,-50
-237,-237,-88.5999,-88
-230,-230,-76.1717,-76
-236,-236,-46.778,-46
-251,-251,-54.2126,-54
-274,-274,-90.7439,-90
-282,-282,-70.38,-70
-239,-239,-95.1352,-95
-249,-249,-103.0932,-103
-230,-230,-76.2087,-76
-205,-205,-82.9119,-82
-193,-193,-106.7778,-106
-239,-239,-107.376,-107
-233,-233,-91.6727,-91
-185,-185,-68.7933,-68
-190,-190,-105.5423,-105
-280,-280,-95.7941,-95
-267,-267,-56.5146,-56
-210,-210,-77.3597,-77
-264,-264,-78.0296,-78
-237,-237,-49.6993,-49
-212,-212,-31.6494,-31
-222,-222,-55.6953,-55
-215,-215,-42.5223,-42
-194,-194,-57.9925,-57
-224,-224,-78.0189,-78
-265,-265,-58.7494,-58
-265,-265,-30.0966,-30
-239,-239,-46.2077,-46
-222,-222,-94.656,-94
-221,-221,-107.1046,-107
-216,-216,-79.5022,-79
-262,-262,-79.5356,-79
-241,-241,-85.207,-85
-259,-259,-80.0062,-80
-263,-263,-64.2197,-64
-210,-210,-56.2425,-56
-225,-225,-71.8347,-71
-194,-194,-36.7436,-36
-201,-201,-54.9219,-54
-210,-210,-100.4662,-100
-274,-274,-91.4524,-91
-249,-249,-53.9839,-53
-217,-217,-66.7063,-66
-261,-261,-44.8736,-44
-257,-257,-47.6186,-47
-230,-230,-96.9974,-96
-217,-217,-80.6642,-80
-254,-254,-57.0269,-57
-247,-247,-23.684,-23
-228,-228,-69.1861,-69
-217,-217,-61.7419,-61
-249,-249,-67.9954,-67
-218,-218,-83.5012,-83
-199,-199,-106.5032,-106
-235,-235,-114.0595,-114
-240,-240,-71.4492,-71
-197,-197,-81.2824,-81
-223,-223,-62.3347,-62
-256,-256,-37.7849,-37
-244,-244,-25.747,-25
-222,-222,-71.5461,-71
-244,-244,-65.645,-65
-265,-265,-17.9119,-17
-226,-226,-23.3189,-23
-240,-240,-112.8463,-112
-261,-261,-100.0202,-100
-211,-211,-43.6786,-43
-174,-174,-97.5333,-97
-239,-239,-70.553,-70
-292,-292,-45.8434,-45
-275,-275,-55.9567,-55
-235,-235,-48.5668,-48
-260,-260,-27.675,-27
-241,-241,-57.3983,-57
-213,-213,-98.1563,-98
-237,-237,-98.4344,-98
-239,-239,-72.7976,-72
-239,-239,-55.5039,-55
-219,-219,-53.8569,-53
-259,-259,-48.7095,-48
-238,-238,-95.1563,-95
-193,-193,-74.2731,-74
-198,-198,-92.3023,-92
-295,-295,-96.2617,-96
-265,-265,-43.4136,-43
-188,-188,-58.6017,-58
-268,-268,-27.2722,-27
-260,-260,-34.6787,-34
-200,-200,-43.4325,-43
-236,-236,-106.7761,-106
-267,-267,-81.8698,-81
-195,-195,-50.4889,-50
-147,-147,-94.4708,-94
-225,-225,-90.7747,-90
-271,-271,-63.6075,-63
-234,-234,-49.8934,-49
-205,-205,-87.2287,-87
-254,-254,-80.5207,-80
-271,-271,-61.8501,-61
-238,-238,-50.1234,-50
-233,-233,-82.2117,-82
-290,-290,-50.977,-50
-219,-219,-31.7952,-31
-231,-231,-67.5117,-67
-253,-253,-72.4191,-72
-251,-251,-30.0139,-30
-245,-245,-55.822,-55
-281,-281,-88.9469,-88
-240,-240,-77.2,-77
-242,-242,-55.2249,-55
-216,-216,-76.5221,-76
-263,-263,-97.5009,-97
-254,-254,-59.04,-59
-224,-224,-72.8467,-72
-234,-234,-92.523,-92
-209,-209,-42.8154,-42
-181,-181,-6.7283,-6
-207,-207,-70.9956,-70
-219,-219,-124.4281,-124
-272,-272,-107.6513,-107
-221,-221,-67.4749,-67
-190,-190,-92.6251,-92
-239,-239,-73.8408,-73
-190,-190,-45.4577,-45
-172,-172,-69.0486,-69
-172,-172,-71.2806,-71
-239,-239,-71.705,-71
-256,-256,-51.9125,-51
-261,-261,-91.8585,-91
-261,-261,-70.8546,-70
